year,title,url,keyword_hit
2026,"Attn-GS: Attention-Guided Context Compression for Efficient Personalized LLMs",http://arxiv.org/abs/2602.07778,persona
2026,"Beyond Fixed Psychological Personas: State Beats Trait, but Language Models are State-Blind",http://arxiv.org/abs/2601.15395,persona
2026,"Bi-Mem: Bidirectional Construction of Hierarchical Memory for Personalized LLMs via Inductive-Reflective Agents",http://arxiv.org/abs/2601.06490,persona
2026,"Can LLMs Discern the Traits Influencing Your Preferences? Evaluating Personality-Driven Preference Alignment in LLMs",http://arxiv.org/abs/2602.07181,personality
2026,"Can LLMs Truly Embody Human Personality? Analyzing AI and Human Behavior Alignment in Dispute Resolution",http://arxiv.org/abs/2602.07414,personality
2026,"CASTLE: A Comprehensive Benchmark for Evaluating Student-Tailored Personalized Safety in Large Language Models",http://arxiv.org/abs/2602.05633,persona
2026,"Culturally Grounded Personas in Large Language Models: Characterization and Alignment with Socio-Psychological Value Frameworks",http://arxiv.org/abs/2601.22396,persona
2026,"CURP: Codebook-based Continuous User Representation for Personalized Generation with LLMs",http://arxiv.org/abs/2602.00742,persona
2026,"Deaf and Hard of Hearing Access to Intelligent Personal Assistants: Comparison of Voice-Based Options with an LLM-Powered Touch Interface",http://arxiv.org/abs/2601.15209,persona
2026,"Don't Start Over: A Cost-Effective Framework for Migrating Personalized Prompts Between LLMs",http://arxiv.org/abs/2601.12034,persona
2026,"Effects of personality steering on cooperative behavior in Large Language Model agents",http://arxiv.org/abs/2601.05302,personality
2026,"ES-MemEval: Benchmarking Conversational Agents on Personalized Long-Term Emotional Support",http://arxiv.org/abs/2602.01885,persona
2026,"Evaluating LLM-persona Generated Distributions for Decision-making",http://arxiv.org/abs/2602.06357,persona
2026,"FedMOA: Federated GRPO for Personalized Reasoning LLMs under Heterogeneous Rewards",http://arxiv.org/abs/2602.00453,persona
2026,"From Assistant to Double Agent: Formalizing and Benchmarking Attacks on OpenClaw for Personalized Local AI Agent",http://arxiv.org/abs/2602.08412,persona
2026,"From Classification to Ranking: Enhancing LLM Reasoning Capabilities for MBTI Personality Detection",http://arxiv.org/abs/2601.18582,personality
2026,"From Who They Are to How They Act: Behavioral Traits in Generative Agent-Based Models of Social Media",http://arxiv.org/abs/2601.15114,trait
2026,"GazeSummary: Exploring Gaze as an Implicit Prompt for Personalization in Text-based LLM Tasks",http://arxiv.org/abs/2601.17676,persona
2026,"HARMONI: Multimodal Personalization of Multi-User Human-Robot Interactions with LLMs",http://arxiv.org/abs/2601.19839,persona
2026,"How Does Personalized Memory Shape LLM Behavior? Benchmarking Rational Preference Utilization in Personalized Assistants",http://arxiv.org/abs/2601.16621,persona
2026,"HumanLLM: Towards Personalized Understanding and Simulation of Human Nature",http://arxiv.org/abs/2601.15793,persona
2026,"Judging with Personality and Confidence: A Study on Personality-Conditioned LLM Relevance Assessment",http://arxiv.org/abs/2601.01862,personality
2026,"LADFA: A Framework of Using Large Language Models and Retrieval-Augmented Generation for Personal Data Flow Analysis in Privacy Policies",http://arxiv.org/abs/2601.10413,persona
2026,"Large Language Models as Simulative Agents for Neurodivergent Adult Psychometric Profiles",http://arxiv.org/abs/2601.15319,psychometric
2026,"Learning Context Matters: Measuring and Diagnosing Personalization Gaps in LLM-Based Instructional Design",http://arxiv.org/abs/2602.04972,persona
2026,"Letting Tutor Personas ""Speak Up"" for LLMs: Learning Steering Vectors from Dialogue via Preference Optimization",http://arxiv.org/abs/2602.07639,persona
